timestamp,equity,price,position,strategy
2026-07-22T22:31:41.027593+00:00,9993.003098370798,65976.19,-1,sma
2026-07-22T22:35:55.078510+00:00,10001.20965929614,65922.03,-1,sma
2026-07-22T22:36:41.083697+00:00,10001.630897098437,65919.25,-1,sma
2026-07-22T22:37:41.241592+00:00,9999.879275157948,65930.81,-1,sma
2026-07-22T22:38:41.392821+00:00,9998.773147115942,65938.11,-1,sma
2026-07-22T22:39:41.587169+00:00,10000.40809527666,65927.32,-1,sma
2026-07-22T22:40:41.727783+00:00,10003.476464160303,65907.07,-1,sma
2026-07-22T22:41:41.844048+00:00,10001.10359222362,65922.73,-1,sma
2026-07-22T22:42:41.968745+00:00,10001.10359222362,65922.73,-1,sma
2026-07-22T22:43:42.186430+00:00,10000.123229424747,65929.2,-1,sma
2026-07-22T22:44:42.337369+00:00,10000.327787350321,65927.85,-1,sma
2026-07-22T22:45:19.202992+00:00,10001.541497708742,65919.84,-1,sma
2026-07-22T22:45:42.443460+00:00,10001.541497708742,65919.84,-1,sma
2026-07-22T22:46:42.731667+00:00,10000.921762956441,65923.93,-1,sma
2026-07-22T22:47:42.843542+00:00,9996.827573957129,65950.95,-1,sma
2026-07-22T22:48:42.947085+00:00,9995.697202012832,65958.41,-1,sma
2026-07-22T22:49:43.051162+00:00,9989.724110586005,65997.83,-1,sma
2026-07-22T22:50:43.309172+00:00,9992.866726420416,65977.09,-1,sma
2026-07-22T22:51:43.441409+00:00,9990.722656311596,65991.24,-1,sma
2026-07-22T22:52:43.585985+00:00,9989.396817905083,65999.99,-1,sma
2026-07-22T22:53:43.735357+00:00,9992.466702032621,65979.73,-1,sma
2026-07-22T22:54:43.842432+00:00,9989.307418515387,66000.58,-1,sma
2026-07-22T23:17:39.543551+00:00,10009.075290345521,65870.12,-1,sma
2026-07-22T23:18:39.822576+00:00,10016.25906164298,65822.71,-1,sma
2026-07-22T23:19:40.087882+00:00,10010.078381802792,65863.5,-1,sma
2026-07-22T23:20:40.400148+00:00,10005.329607441636,65894.84,-1,sma
2026-07-22T23:21:40.824613+00:00,10001.808180633938,65918.08,-1,sma
2026-07-22T23:22:41.087967+00:00,9998.548891019756,65939.59,-1,sma
2026-07-22T23:23:41.411386+00:00,9998.548891019756,65939.59,-1,sma
2026-07-22T23:24:41.813217+00:00,10000.217174546122,65928.58,-1,sma
2026-07-22T23:25:42.079260+00:00,10001.100561735833,65922.75,-1,sma
2026-07-22T23:26:42.335556+00:00,9996.61695505598,65952.34,-1,sma
2026-07-22T23:27:42.728623+00:00,9996.826058713235,65950.96,-1,sma
2026-07-22T23:28:42.985919+00:00,9996.383607496433,65953.88,-1,sma
2026-07-22T23:29:43.232809+00:00,9995.794177621994,65957.77,-1,sma
2026-07-22T23:30:43.492875+00:00,9996.244205058263,65954.8,-1,sma
2026-07-22T23:31:43.772507+00:00,9996.286631887271,65954.52,-1,sma
2026-07-22T23:32:44.057261+00:00,9995.715384939553,65958.29,-1,sma
2026-07-22T23:33:44.325336+00:00,9999.270147112898,65934.83,-1,sma
2026-07-22T23:34:44.622970+00:00,9999.567134915958,65932.87,-1,sma
2026-07-22T23:35:44.918735+00:00,9999.27166235679,65934.82,-1,sma
2026-07-22T23:36:45.289724+00:00,9996.659381884989,65952.06,-1,sma
2026-07-22T23:37:45.626922+00:00,9999.880790401841,65930.8,-1,sma
2026-07-22T23:38:45.931809+00:00,9997.160927613624,65948.75,-1,sma
2026-07-22T23:39:46.327134+00:00,9997.438217246072,65946.92,-1,sma
2026-07-22T23:40:46.563164+00:00,9996.21844591208,65954.97,-1,sma
2026-07-22T23:41:46.866921+00:00,9995.054738602135,65962.65,-1,sma
2026-07-22T23:42:47.218005+00:00,9998.048860535013,65942.89,-1,sma
2026-07-22T23:43:47.499054+00:00,9998.180686753718,65942.02,-1,sma
2026-07-22T23:44:47.747325+00:00,9995.909336157876,65957.01,-1,sma
2026-07-22T23:45:48.026627+00:00,9995.309299576185,65960.97,-1,sma
2026-07-22T23:46:48.298609+00:00,9990.42718375243,65993.19,-1,sma
2026-07-22T23:47:48.602338+00:00,9993.971339218526,65969.8,-1,sma
2026-07-22T23:48:48.872383+00:00,9991.943942889482,65983.18,-1,sma
2026-07-22T23:49:49.122483+00:00,9990.15292460777,65995.0,-1,sma
2026-07-22T23:50:49.398562+00:00,9989.50136973371,65999.3,-1,sma
2026-07-22T23:51:49.689146+00:00,9989.52864412379,65999.12,-1,sma
2026-07-22T23:52:50.001751+00:00,9989.52864412379,65999.12,-1,sma
2026-07-22T23:53:50.306372+00:00,9989.70744290318,65997.94,-1,sma
2026-07-22T23:54:50.553362+00:00,9984.625314885532,66031.48,-1,sma
2026-07-22T23:55:50.856055+00:00,9986.225412436705,66020.92,-1,sma
2026-07-22T23:56:51.195294+00:00,9981.673619781659,66050.96,-1,sma
2026-07-22T23:57:51.442451+00:00,9975.808110671247,66089.67,-1,sma
2026-07-22T23:58:51.696511+00:00,9974.544397264353,66098.01,-1,sma
2026-07-22T23:59:52.011617+00:00,9977.217287491883,66080.37,-1,sma
2026-07-23T00:00:52.256412+00:00,9977.05667163921,66081.43,-1,sma
2026-07-23T00:01:52.528068+00:00,9981.51603441677,66052.0,-1,sma
2026-07-23T00:02:52.770271+00:00,9981.819083195403,66050.0,-1,sma
2026-07-23T00:03:53.162118+00:00,9980.39323869194,66059.41,-1,sma
2026-07-23T00:04:53.430814+00:00,9973.014000932264,66108.11,-1,sma
2026-07-23T00:05:53.700793+00:00,9971.569973502084,66117.64,-1,sma
2026-07-23T00:06:53.964360+00:00,9968.925872908525,66135.09,-1,sma
2026-07-23T00:07:54.235090+00:00,9966.903022311159,66148.44,-1,sma
2026-07-23T00:08:54.525560+00:00,9960.807196128986,66188.67,-1,sma
2026-07-23T00:09:54.830930+00:00,9962.975510140095,66174.36,-1,sma
2026-07-23T00:10:55.088430+00:00,9965.684766221062,66156.48,-1,sma
2026-07-23T00:11:55.357640+00:00,9960.370805887756,66191.55,-1,sma
2026-07-23T00:12:55.661848+00:00,9961.608760148467,66183.38,-1,sma
2026-07-23T00:13:56.002115+00:00,9965.684766221062,66156.48,-1,sma
2026-07-23T00:14:56.333238+00:00,9967.65761376995,66143.46,-1,sma
2026-07-23T00:15:56.626393+00:00,9967.577305843613,66143.99,-1,sma
2026-07-23T00:16:56.880237+00:00,9966.195403413054,66153.11,-1,sma
2026-07-23T00:17:57.123659+00:00,9958.576757118259,66203.39,-1,sma
2026-07-23T00:18:57.387946+00:00,9968.786470470355,66136.01,-1,sma
2026-07-23T00:19:57.678218+00:00,9966.666644263827,66150.0,-1,sma
2026-07-23T00:20:57.966412+00:00,9959.791982720571,66195.37,-1,sma
2026-07-23T00:21:58.201761+00:00,9959.388927844991,66198.03,-1,sma
2026-07-23T00:22:58.453969+00:00,9954.74319006857,66228.69,-1,sma
2026-07-23T00:23:58.707752+00:00,9956.059937011723,66220.0,-1,sma
2026-07-23T00:24:58.991707+00:00,9952.383955326924,66244.26,-1,sma
2026-07-23T00:25:59.231070+00:00,9952.270312034938,66245.01,-1,sma
2026-07-23T00:26:59.549503+00:00,9952.270312034938,66245.01,-1,sma
2026-07-23T00:27:59.792655+00:00,9947.056357798581,66279.42,-1,sma
2026-07-23T00:29:00.049953+00:00,9953.438565076562,66237.3,-1,sma
2026-07-23T00:30:00.345649+00:00,9956.172065059818,66219.26,-1,sma
2026-07-23T00:31:00.683867+00:00,9963.636156477512,66170.0,-1,sma
2026-07-23T00:32:00.985898+00:00,9961.786043683966,66182.21,-1,sma
2026-07-23T00:33:01.226929+00:00,9959.843501012938,66195.03,-1,sma
2026-07-23T00:34:01.472511+00:00,9959.091940041932,66199.99,-1,sma
2026-07-23T00:35:01.799572+00:00,9953.799193123134,66234.92,-1,sma
2026-07-23T00:36:02.062552+00:00,9955.323528479648,66224.86,-1,sma
2026-07-23T00:37:02.413801+00:00,9960.188976620579,66192.75,-1,sma
2026-07-23T00:38:02.662356+00:00,9963.017936969103,66174.08,-1,sma
2026-07-23T00:39:02.951609+00:00,9963.242193065289,66172.6,-1,sma
2026-07-23T00:40:03.201923+00:00,9964.248315010347,66165.96,-1,sma
2026-07-23T00:41:03.479652+00:00,9964.661976593181,66163.23,-1,sma
2026-07-23T00:42:03.723115+00:00,9962.430022338558,66177.96,-1,sma
2026-07-23T00:43:04.003405+00:00,9969.900174731825,66128.66,-1,sma
2026-07-23T00:44:04.426593+00:00,9966.589366825277,66150.51,-1,sma
2026-07-23T00:45:04.674008+00:00,9972.551851544851,66111.16,-1,sma
2026-07-23T00:46:04.938799+00:00,9966.783318043601,66149.23,-1,sma
2026-07-23T00:47:05.179928+00:00,9963.639186965298,66169.98,-1,sma
2026-07-23T00:48:05.490059+00:00,9964.658946105394,66163.25,-1,sma
2026-07-23T00:49:05.768640+00:00,9967.515180843997,66144.4,-1,sma
2026-07-23T00:50:06.043952+00:00,9973.156433858221,66107.17,-1,sma
2026-07-23T00:51:06.390059+00:00,9974.84593079909,66096.02,-1,sma
2026-07-23T00:52:06.723902+00:00,9968.121278401259,66140.4,-1,sma
2026-07-23T00:53:06.981375+00:00,9974.233772266256,66100.06,-1,sma
2026-07-23T00:54:07.274858+00:00,9975.865689939188,66089.29,-1,sma
2026-07-23T00:55:07.705181+00:00,9975.465665551394,66091.93,-1,sma
